stage,mean_ms,std_ms,min_ms,max_ms
feature_extraction,26359.24882285347,27605.16403543321,7315.844099997776,156621.56599998707
random_forest_predict,492.4355914284076,2302.910617269607,23.7691999936942,13911.182799987728
svm_predict,87.03914571337269,459.8759059818527,0.6342999986372888,2765.41590000852
spectrogram_extraction,2507.8515200002585,5618.1098163876995,1413.131000008434,35263.21849998203
cnn_predict,543.4119171454638,2428.3842968842864,6.605100003071129,14611.105900024995
TOTAL_random_forest,26851.684414281877,29501.122546728217,7455.278199980967,170532.7487999748
TOTAL_svm,26446.287968566838,27982.003744705646,7316.597800003365,159386.9818999956
TOTAL_cnn,3051.2634371457225,8035.823509084747,1421.3143000088166,49874.324400007026
